Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,4.56066702604653E-05,-0.003106244650993,0.0721752784828355,0,0,0,0.311975622614999,0.000238088630601122,-1.16726665812887E-06,5.77609124558337E-07,0.00028210406583092,1.55368683899448E-05,0.000154836898082308,0,0,0,0,0,0,package://urdf_right_with_force_sensor/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_right_with_force_sensor/meshes/base_link.STL,,侧摆齿条-1;法兰franka-1;弯曲齿条-1;骨架组件-2;四代手接插件(6).step-3;航插-1;选准踢踢踢腿-1;力控球轴承-球笼A-1;RH56-8 驱动器推杆螺丝 四指 （新）-4;RH56-8 驱动器推杆螺丝 四指 （新）-3;RH56-8 驱动器推杆螺丝 四指 （新）-2;零件1-3;027掌心力控模型-13;最新027力控版本-7;RH56-8 驱动器推杆螺丝 四指 （新）-1;手掌外观0910.stp-1;零件1-2;零件1-1;垫圈-1;力控球轴承-球笼A-5;力控球轴承-球笼A-4;027掌心力控模型-12;力控球轴承-球笼A-2;最新027力控版本-9;最新027力控版本-11;最新027力控版本-10,坐标系13,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
palm_force_sensor,0.000120426871221421,0.000717269582936034,-0.0006928935004962,0,0,0,0.00240887834119384,1.792409847502E-07,3.5297874278755E-10,-2.06007907879908E-10,5.01925280756008E-07,-4.23310809567535E-10,6.80058307355101E-07,0,0,0,0,0,0,package://urdf_right_with_force_sensor/meshes/palm_force_sensor.STL,0.411764705882353,0.411764705882353,0.411764705882353,1,0,0,0,0,0,0,package://urdf_right_with_force_sensor/meshes/palm_force_sensor.STL,,掌心定位-1,坐标系25,,palm_force_sensor_joint,fixed,-0.00036819,0.012296,0.1196,1.5708,0,-3.1416,base_link,0,0,0,,,,,,,,,,,,
right_thumb_1,-0.000892586815740379,0.000344905600937098,0.00159994421661698,0,0,0,0.00163186080606739,1.29835194524364E-07,-5.71160730713237E-09,1.48758957374632E-08,1.11222050936534E-07,-2.10521827472609E-09,7.03400601569091E-08,0,0,0,0,0,0,package://urdf_right_with_force_sensor/meshes/right_thumb_1.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_right_with_force_sensor/meshes/right_thumb_1.STL,,摆杆家那件-1,坐标系1,基准轴1,right_thumb_1_joint,revolute,-0.0269,0.02101,0.0689,0,0,0,base_link,0,0,-1,10,1,0,1,,,,,,,,
right_thumb_2,0.0138310184561186,0.0119153040965892,-0.0066040787609158,0,0,0,0.00629956654001563,1.07086820134242E-06,-7.72811128729268E-08,1.6492356088499E-09,9.9489890406106E-07,-1.72519450001931E-09,1.35184010899012E-06,0,0,0,0,0,0,package://urdf_right_with_force_sensor/meshes/right_thumb_2.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_right_with_force_sensor/meshes/right_thumb_2.STL,,DMZ-1/零件5^DMZ-1,坐标系2,基准轴2,right_thumb_2_joint,revolute,-0.0079252,0.0090599,0.0052,1.5708,0,2.8798,right_thumb_1,0,0,-1,10,1,0,1,,,,,,,,
right_thumb_3,0.0108798353899717,0.0042597051968735,-0.00764637401672714,0,0,0,0.00428063857083208,5.19560132472211E-07,-1.00415069131876E-07,-9.80140512897539E-11,5.03378983794322E-07,-1.59532488112783E-10,5.33618730069293E-07,0,0,0,0,0,0,package://urdf_right_with_force_sensor/meshes/right_thumb_3.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_right_with_force_sensor/meshes/right_thumb_3.STL,,DMZ-1/拇指中节-2,坐标系3,基准轴3,right_thumb_3_joint,revolute,0.031403,0.021069,0.00095,0,0,0,right_thumb_2,0,0,-1,10,1,0,1,,,,,,,,
thumb_force_sensor_2,2.43300294987259E-05,5.45016031029619E-05,-0.00109137669633625,0,0,0,9.06117522650324E-05,3.34747183285769E-10,-3.83618671521233E-14,-3.52155403886961E-13,3.3582079154486E-10,1.08928107999936E-12,5.8857712310973E-10,0,0,0,0,0,0,package://urdf_right_with_force_sensor/meshes/thumb_force_sensor_2.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_right_with_force_sensor/meshes/thumb_force_sensor_2.STL,,中节传感器-1,坐标系15,,thumb_force_sensor_2_joint,fixed,0.011771,0.01699,-0.0077514,1.8405,-1.5705,3.1416,right_thumb_3,0,0,0,,,,,,,,,,,,
right_thumb_4,0.0163213285767181,0.00521948646562768,-0.00735105906992692,0,0,0,0.00878951519891345,5.94898170313626E-07,-2.54243319254154E-07,-3.85279480113408E-11,7.79213727447204E-07,1.05044609120841E-10,8.99837239850073E-07,0,0,0,0,0,0,package://urdf_right_with_force_sensor/meshes/right_thumb_4.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_right_with_force_sensor/meshes/right_thumb_4.STL,,DMZ-1/大拇指支架啊-1,坐标系4,基准轴4,right_thumb_4_joint,revolute,0.021903,0.012816,-0.0003,0,0,0,right_thumb_3,0,0,-1,10,1,0,1,,,,,,,,
thumb_force_sensor_3,-1.23775059738263E-05,-0.000195169652742258,-0.000791740559016839,0,0,0,0.000276864676784098,5.41310691342173E-09,6.87296172207439E-13,6.30644149217552E-13,2.55911790350329E-09,3.82480948255569E-11,7.82908815507693E-09,0,0,0,0,0,0,package://urdf_right_with_force_sensor/meshes/thumb_force_sensor_3.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_right_with_force_sensor/meshes/thumb_force_sensor_3.STL,,拇指指尖传感器-1,坐标系16,,thumb_force_sensor_3_joint,fixed,0.014598,0.01472,-0.0073103,-0.20892,-1.5708,-0.81953,right_thumb_4,0,0,0,,,,,,,,,,,,
thumb_force_sensor_4,-7.92360084045374E-07,0.000270176737805342,-0.00100449427101953,0,0,0,5.02581140749915E-05,8.13571080013636E-11,2.58693570374917E-14,-1.96984666095952E-14,1.70774917471053E-10,-3.77214172796391E-12,2.11640709256119E-10,0,0,0,0,0,0,package://urdf_right_with_force_sensor/meshes/thumb_force_sensor_4.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_right_with_force_sensor/meshes/thumb_force_sensor_4.STL,,拇指指尖啊啊-1,坐标系26,,thumb_force_sensor_4_joint,fixed,0.028987,0.017301,-0.0073512,1.0641,1.5708,0,right_thumb_4,0,0,0,,,,,,,,,,,,
thumb_force_sensor_1,1.67085981274823E-05,1.15915239991271E-05,-0.00107125254163185,0,0,0,0.000424626980166053,9.01126285102489E-09,-2.19183765993572E-15,-2.32024611820209E-12,4.94554439784859E-09,1.17775921788887E-11,1.35651458253969E-08,0,0,0,0,0,0,package://urdf_right_with_force_sensor/meshes/thumb_force_sensor_1.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_right_with_force_sensor/meshes/thumb_force_sensor_1.STL,,大拇指近端传感器-1,坐标系14,,thumb_force_sensor_1_joint,fixed,0.0087121,0.026305,-0.0067115,-1.5728,-1.5708,0.35156,right_thumb_2,0,0,0,,,,,,,,,,,,
